ID товара,Наименование,Цена,Город,Промо цена,Ссылка
3433312,Чипсы DrKorner цельнозерновые кукурузно-рисовые с томатом и базиликом 50г,"48,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3433312/
3430122,Батончик SIBERRYA Матан злаковый 35г,"43,50 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3430122/
3277076,Снеки Зеленика сушеная клубника 20г,"174,90 ₽",Москва и Московская область,"130,90 ₽",https://www.detmir.ru/product/index/id/3277076/
3286028,Орехи Семушка миндаль сушеный 120г,255 ₽,Москва и Московская область,219 ₽,https://www.detmir.ru/product/index/id/3286028/
3298576,Батончик Фруктовая Энергия Фрутилад чернослив 30г,"40,70 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3298576/
3296378,Снеки LittleAngel Rosy органические кукурузные 30г,"154,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3296378/
3480267,Батончик SOJ фруктово-ореховый со вкусом банана арахис-банан 40г,"102,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3480267/
3284507,Батончик Take a Slim Bite фруктово-ягодный кокос 30г,"67,90 ₽",Москва и Московская область,"53,90 ₽",https://www.detmir.ru/product/index/id/3284507/
3689549,Батончик-мюсли Леовит Мой лайк для стройности яблоко с корицей 25г,"16,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3689549/
3422275,Батончик ОлЛайт инжирный 30г,"44,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3422275/
3433309,Чипсы DrKorner цельнозерновые кукурузно-рисовые с розмарином и оливковым маслом 50г,"48,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3433309/
3286841,Хлебцы Take a Bite хрустящие рисово-гречневые 150г,"139,90 ₽",Москва и Московская область,125 ₽,https://www.detmir.ru/product/index/id/3286841/
3289440,Хлебцы DiDi амарантовые без глютена с луком 195г,"118,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3289440/
3689548,Батончик-мюсли Леовит Мой лайк для энергии кофе с шоколадом 25г,"16,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3689548/
3422199,Батончик Bionova №11 кэроб-орехи 35г,"77,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3422199/
3433301,Хлебцы DrKorner кукурузно-рисовые карамельные без глютена 90г,"70,90 ₽",Москва и Московская область,60 ₽,https://www.detmir.ru/product/index/id/3433301/
3444361,Батончик Диа-Веста Бон Здоровье от Природы с орехом 30г,"26,50 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3444361/
3422271,Батончик ОлЛайт клюквенный 30г,"44,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3422271/
3286038,Орехи Семушка кедровые 40г,"178,90 ₽",Москва и Московская область,"138,90 ₽",https://www.detmir.ru/product/index/id/3286038/
3286032,Орехи Семушка бразильские 120г,237 ₽,Москва и Московская область,,https://www.detmir.ru/product/index/id/3286032/
3286824,Батончик Take a Bite Детокс орехово-фруктовый абрикос-миндаль 45г,"113,30 ₽",Москва и Московская область,"79,90 ₽",https://www.detmir.ru/product/index/id/3286824/
3689546,Батончик-мюсли Леовит Мой лайк для тонуса апельсин 25г,"16,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3689546/
3464050,Чипсы Яблоков из сладких яблок 25г,"113,10 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3464050/
3286063,Батончик Pikki фруктово-ореховый кешью-миндаль-инжир 35г,"99,90 ₽",Москва и Московская область,"79,90 ₽",https://www.detmir.ru/product/index/id/3286063/
3322342,Кокос Дары Памира мякоть 65% 200г,239 ₽,Москва и Московская область,,https://www.detmir.ru/product/index/id/3322342/
3422196,Батончик Bionova №7 инжир-орехи 35г,"77,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3422196/
3286085,Батончик Леовит Фрутончик со злаками яблоко-курага-фенхель 20г,"47,90 ₽",Москва и Московская область,"23,90 ₽",https://www.detmir.ru/product/index/id/3286085/
3433303,Хлебцы DrKorner рисовые из бурого риса с морской солью без глютена 100г,"94,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3433303/
3417771,Батончик ENERGON Slim клюква и злаки 40г,"35,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3417771/
3526368,Финики R.A.W.LIFE Аджва 125г,399 ₽,Москва и Московская область,319 ₽,https://www.detmir.ru/product/index/id/3526368/
3286060,Батончик Pikki фруктовый абрикос-яблоко 25г,"49,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3286060/
3889785,Гематоген Народный детский 40г,"19,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3889785/
3286033,Семена Семушка тыквенные очищенные 40г,"68,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3286033/
3480609,Ядра Nutvill миндаля сырые 130г,281 ₽,Москва и Московская область,245 ₽,https://www.detmir.ru/product/index/id/3480609/
3286187,Батончик-мюсли Bombbar арахис 45г,"55,70 ₽",Москва и Московская область,48 ₽,https://www.detmir.ru/product/index/id/3286187/
3286846,Слайс Take a Bite из зеленой гречки с чесноком и паприкой 100г,"179,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3286846/
3310372,Снек Лакомства для здоровья лен-морская капуста 60г,"179,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3310372/
3289429,Батончик Умные сладости в белой глазури со сливочной начинкой 20г,"30,90 ₽",Москва и Московская область,27 ₽,https://www.detmir.ru/product/index/id/3289429/
3710567,Батончик Капитан Сильвер кокосовый витаминный в белой глазури 50г,"29,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3710567/
3335270,Батончик ПП мюсли дыня в йогуртовой глазури 30г,"39,90 ₽",Москва и Московская область,"27,90 ₽",https://www.detmir.ru/product/index/id/3335270/
3467346,Карамель медовая HoneyWay с шалфеем 30г,219 ₽,Москва и Московская область,"189,90 ₽",https://www.detmir.ru/product/index/id/3467346/
3286029,Орехи Семушка грецкий-чилийский 80г,215 ₽,Москва и Московская область,175 ₽,https://www.detmir.ru/product/index/id/3286029/
